long,lat,id,nombre,anio_de_in,tipo,cantidad,ubicacion,clasificac,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.3795292393051,-34.6418142432421,263,LA FLOR DE BARRACAS,2013,4U,1,VIA PUBLICA,COMERCIO AMIGO,SUAREZ AV.,2095,,Barracas,Comuna 4,1288,C1288AFC
-58.375029785218,-34.606950967473,264,EDIFICIO TORNQUIST,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,"MITRE, BARTOLOME",0,FLORIDA,San Nicolas,Comuna 1,,
-58.4164465192681,-34.6202732053582,265,TIMBRE 4,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,BOEDO AV.,640,,Almagro,Comuna 5,1218,C1218AAP
-58.380296090208,-34.5991011176364,266,ALIANZA FRANCESA,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CORDOBA AV.,936,,San Nicolas,Comuna 1,1054,C1054AAV
-58.3883662376506,-34.604247710455,267,TEATRO SAN MARTIN,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CORRIENTES AV.,1530,,San Nicolas,Comuna 1,1042,C1042AAO
-58.3885694174267,-34.6040461317859,268,CENTRO CULTURAL DE COOPERACION,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CORRIENTES AV.,1543,,San Nicolas,Comuna 1,1042,C1042AAB
-58.3948833900803,-34.604378996736,269,TEATRO BAR LA CASONA,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CORRIENTES AV.,1975,,Balvanera,Comuna 3,1045,C1045AAB
-58.3788647381249,-34.6034316943623,270,TEATRO GRAN REX,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,CORRIENTES AV.,857,,San Nicolas,Comuna 1,1043,C1043AAI
-58.4457371893461,-34.5842264352791,271,TEATRO REGIO,2018,1U,4,VIA PUBLICA,EDIFICIOS CULTURALES,CORDOBA AV.,6056,,Chacarita,Comuna 15,1427,C1427BZN
-58.4195015639035,-34.5799712506464,272,TEATRO SARMIENTO,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,SARMIENTO AV.,2715,,Palermo,Comuna 14,1425,C1425FGB
-58.3705751825544,-34.6130759807331,273,LA TRASTIENDA,2013,4U,1,VIA PUBLICA,EDIFICIOS CULTURALES,BALCARCE,460,,Monserrat,Comuna 1,1064,C1064AAJ
